Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat
Jan Bednarek,SFC,pl,24,D(C),189,77,24(1),2151,-,1,7,-,0.2,70.5,3.2,3,1.6,2.8,0.9,0.8,6.7,0.6,1.1,-,0.4,-,0.2,-,0.2,0.2,32.8,-,1.7,0.1,7.04
Nathan Redmond,SFC,eng,26,"AM(CLR),FW",173,69,36(2),3278,6,4,3,-,1.9,75.4,0.7,3,1.2,0.5,0.8,-,0.6,0.7,0.1,-,1.4,2.4,0.7,0.4,2.1,2.2,29.6,0.6,1.3,-,6.91
Matt Targett,SFC,eng,25,"D(L),M(L)",183,70,13(3),1187,1,3,2,-,0.7,69.9,1.1,-,1.7,1.7,0.4,0.3,1.9,0.9,0.2,-,1.4,0.1,0.6,0.1,0.4,0.4,27.6,1.4,1.4,0.1,6.89
Pierre-Emile Højbjerg,SFC,dk,25,M(C),185,84,31,2764,4,3,7,2,1.7,82.9,1.5,2,2.3,1.9,1.5,0.1,0.9,1.6,0.3,-,0.9,0.7,1.5,-,1.5,1.8,57.8,0.3,3.5,0.1,6.87
James Ward-Prowse,SFC,eng,25,M(CR),173,66,21(5),1942,7,-,4,-,1.2,76.5,0.8,-,1.4,1,0.8,-,2,1.1,0.2,1,1.8,0.2,0.4,0.1,0.6,1,27.7,1.5,1,-,6.87
Mario Lemina,SFC,ga,27,DMC,184,85,18(3),1616,1,1,5,-,1.2,86,1.4,-,2.3,2,1.5,-,1.4,0.9,0.1,-,0.6,1.1,1.1,-,1.5,1.2,38.6,0.1,2.1,-,6.85
Maya Yoshida,SFC,jp,32,D(CR),189,78,17,1520,-,1,-,-,0.8,75.7,2.1,-,0.9,2.5,0.2,0.6,5.9,0.5,1.2,-,0.3,0.1,0.4,0.1,-,0.4,32.7,-,2.4,-,6.85
Danny Ings,SFC,eng,28,"AM(C),FW",178,73,23(1),1668,7,3,1,-,2.3,71.4,0.8,-,1.3,0.2,0.7,-,0.3,0.7,0.1,-,1.2,0.8,0.9,0.3,1.2,2.3,16.3,-,0.5,0.2,6.83
Wesley Hoedt,SFC,nl,26,D(C),188,77,13,1170,-,-,2,-,0.5,78.6,2.5,-,2.2,1.8,1.2,0.7,5.8,0.7,1,2,0.1,0.5,1.2,-,0.4,0.2,47.8,-,4.4,-,6.77
Oriol Romeu,SFC,es,29,DMC,183,83,25(6),2142,1,-,11,-,0.3,79.3,1.5,1,2.6,1.7,1.5,0.1,1.2,1.5,0.5,-,0.3,0.5,0.5,-,0.5,0.6,35.5,-,1.8,-,6.76
Yan Valery,SFC,fr,21,"D(R),M(R)",180,85,20(3),1715,2,1,3,1,0.3,61.9,1.8,-,1.8,1,1.2,0.3,2.5,0.6,0.1,-,0.3,1,0.3,0.1,1.3,1.4,17.3,0.3,0.6,-,6.66
Ryan Bertrand,SFC,eng,31,"D(CL),M(L)",179,85,24,2160,1,-,8,-,0.7,75.5,1.6,-,1.9,1.2,1.1,0.1,1.8,0.6,0.2,-,1,0.3,0.9,-,0.3,1.3,32.3,0.9,0.8,0.1,6.61
Alex McCarthy,SFC,eng,30,GK,193,79,25,2250,-,-,1,-,-,45,0.6,1,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,23.4,-,5.6,-,6.58
Cédric Soares,SFC,pt,29,"D(R),M(R)",172,67,16(2),1494,1,2,4,-,0.6,73.1,1.3,-,1.2,1.2,0.5,0.1,2.8,0.3,0.3,-,0.7,0.4,0.3,0.1,0.6,0.8,33.1,0.8,1.7,-,6.56
Jack Stephens,SFC,eng,26,D(C),185,75,19(5),1699,1,-,4,-,0.3,75,2.3,1,1,1.5,0.5,0.3,3.9,0.5,0.5,-,0.2,0.2,0.3,-,0.2,0.4,32,-,2.4,-,6.52
Mohamed Elyounoussi,SFC,no,26,"AM(LR),FW",178,70,8(8),791,-,-,-,-,1.3,73.4,0.6,-,1,0.4,0.6,-,0.3,0.8,0.1,-,0.9,0.7,0.8,0.1,0.5,0.9,13.9,0.8,0.5,0.1,6.51
Stuart Armstrong,SFC,sct,28,AM(CLR),183,75,16(13),1433,3,2,2,-,1.1,78.6,0.6,-,1,0.4,0.7,-,0.4,1.2,-,-,1,0.7,0.7,0.1,0.9,1.4,21.1,0.1,0.7,-,6.50
Shane Long,SFC,ie,33,"AM(R),FW",178,81,12(14),1271,5,1,3,-,1.2,64.6,2.8,1,0.6,0.3,1,-,0.7,0.5,-,-,0.5,0.2,0.9,0.5,0.8,2,11.7,-,-,-,6.50
Steven Davis,SFC,nir,35,M(CLR),173,70,1(2),97,-,1,-,-,-,94.1,0.3,-,0.7,0.3,0.7,-,1.7,-,-,-,1,-,-,-,-,0.3,22.7,0.3,1.3,0.3,6.45
Michael Obafemi,SFC,ie,20,FW,169,71,1(5),136,1,1,1,-,1.2,66.7,-,-,0.2,0.2,0.3,-,-,-,0.2,-,0.3,0.5,0.5,0.2,0.3,0.8,3,0.2,-,-,6.41
Angus Gunn,SFC,eng,24,GK,196,77,12,1080,-,-,-,-,-,35.3,0.3,1,-,-,-,-,0.9,-,-,-,-,-,0.2,-,-,-,24.1,-,6.2,-,6.37
Fraser Forster,SFC,eng,32,GK,201,93,1,90,-,-,-,-,-,31.6,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,19,-,5,-,6.36
Charlie Austin,SFC,eng,31,FW,188,84,11(14),981,2,2,1,-,1.3,58.6,1.7,-,0.5,0.1,0.6,-,0.5,0.2,0.1,-,0.4,-,0.7,0.4,0.7,1.2,7.9,-,0.2,-,6.27
Callum Slattery,SFC,eng,21,Midfielder,175,0,1(2),110,-,-,-,-,0.3,71,1,-,1.3,0.7,1.3,-,0.3,1.3,0.3,-,-,0.3,1,-,0.7,1.3,10.3,-,0.3,-,6.26
Manolo Gabbiadini,SFC,it,28,"AM(CLR),FW",181,75,4(8),471,1,-,-,-,1.7,67.8,0.7,1,0.5,0.3,0.8,-,0.4,0.1,-,-,0.4,0.2,0.7,0.1,0.3,0.4,10.1,0.1,0.1,-,6.25
Josh Sims,SFC,eng,23,AM(R),174,67,2(5),210,-,1,-,-,0.7,72.7,0.1,-,0.1,0.1,0.1,-,0.1,0.3,-,-,0.1,0.6,0.7,0.1,1,0.6,6.3,-,0.1,-,6.17
Kayne Ramsay,SFC,,20,Defender,0,0,1,90,-,-,-,-,-,71.4,2,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,14,-,-,-,6.09
Sam Gallagher,SFC,sct,25,"AM(LR),FW",194,75,0(4),32,-,-,-,-,-,16.7,0.8,-,-,-,1,-,0.3,-,-,-,-,-,0.3,-,0.5,0.3,1.5,-,-,-,6.02
Tyreke Johnson,SFC,eng,21,Midfielder,185,79,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
John Ruddy,WWFC,eng,33,GK,193,97,1,90,-,-,-,-,-,68.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,9,-,7.19
Matt Doherty,WWFC,ie,28,"D(LR),M(R)",182,80,35(3),3147,4,5,5,-,1.2,71.6,3.8,2,1.8,1.6,0.8,0.1,2.2,0.6,0.2,1,1,0.5,0.6,0.1,0.6,1.2,36.8,0.4,1.4,0.1,7.12
Willy Boly,WWFC,fr,29,D(C),195,92,36,3169,4,-,2,1,0.7,81,3.8,2,2.4,2,0.8,0.1,4.8,0.6,0.9,-,0.3,0.4,0.4,0.1,0.4,0.3,47.6,-,2.4,-,7.12
Raúl Jiménez,WWFC,mx,29,FW,190,76,36(2),3125,13,7,4,-,2.9,72.8,2.1,4,0.8,0.7,1.1,-,1,0.4,0.1,-,1.1,0.9,1,0.9,1.8,2.5,27.9,0.2,0.9,0.1,7.07
João Moutinho,WWFC,pt,34,M(C),170,61,35(3),3040,1,8,4,-,0.5,84.8,0.6,1,3,1.1,1.4,-,1.1,2.2,0.3,-,2.2,0.3,1,-,0.7,0.4,49,1.7,3.3,-,7.06
Leander Dendoncker,WWFC,be,25,"D(C),DMC",188,76,17(2),1469,2,-,1,-,0.9,79.4,2.9,2,2.8,1.2,0.6,0.1,1.5,1.6,0.3,-,0.4,0.6,0.6,0.1,0.4,0.9,31.9,0.1,0.8,-,6.97
Romain Saïss,WWFC,ma,30,"D(C),DMC",190,80,12(7),1145,2,-,7,-,0.6,77.1,3.2,2,2.1,1.4,1.4,0.1,3.1,0.9,0.6,-,0.2,0.3,0.4,-,0.1,0.1,38.8,0.1,3.2,-,6.93
Diogo Jota,WWFC,pt,23,"AM(CL),FW",178,70,29(4),2372,9,5,11,-,1.8,75.6,0.8,3,0.8,0.4,1.3,-,0.3,0.8,-,-,0.8,1.7,1.7,0.2,1.5,2.3,22.6,0.2,0.5,0.1,6.89
Rúben Neves,WWFC,pt,23,DMC,180,72,34(1),3009,4,3,8,-,2.1,81.2,0.9,-,2.1,2.1,1.1,-,1.3,1.6,0.5,-,0.7,0.3,0.5,-,0.8,0.8,55.4,0.1,6.1,-,6.86
Jonny,WWFC,es,26,"D(CLR),M(L)",175,70,32(1),2780,1,1,6,-,0.8,77.8,1.2,1,2.4,1.8,0.7,0.2,1.6,0.9,0.2,-,0.9,0.9,1,0.2,1.2,1.2,32.6,0.3,1,-,6.85
Ryan Bennett,WWFC,eng,30,D(C),188,70,34,3060,1,-,12,-,0.4,79.6,3.6,-,1.7,1.3,1.1,0.2,3.6,0.5,0.6,-,0.3,0.1,0.3,-,-,0.1,39.6,-,2,-,6.77
Adama Traoré,WWFC,es,24,"M(LR),FW",178,72,8(21),896,1,1,1,-,0.7,72.2,0.8,1,0.6,0.2,0.5,-,0.2,0.2,-,-,0.6,2.2,0.9,0.2,1.6,1.3,9.3,0.5,0.2,-,6.59
Rui Patrício,WWFC,pt,32,GK,190,84,37,3330,-,-,-,-,-,53.6,0.2,-,0.1,-,-,-,0.4,-,-,-,-,-,-,-,-,-,20.5,-,6.9,-,6.45
Conor Coady,WWFC,eng,27,"D(CR),DMC",185,73,38,3420,-,-,5,-,-,84.3,0.9,1,0.8,0.8,0.3,0.5,3.3,0.4,0.7,3,0.1,0.1,0.2,-,0.1,0.2,44.4,-,6.4,-,6.45
Rúben Vinagre,WWFC,pt,21,M(L),174,64,7(10),706,-,-,1,-,0.2,77.3,0.5,-,0.8,0.8,0.7,0.1,0.8,0.2,0.1,-,0.4,0.8,0.5,0.1,0.7,1.1,16.8,0.4,0.5,-,6.41
Hélder Costa,WWFC,pt,26,AM(CLR),178,73,16(9),1346,1,2,3,-,1,81.4,0.4,-,0.7,0.4,0.8,-,0.2,0.6,-,-,0.7,1,0.9,0.2,1.7,1.9,17.7,0.1,0.4,-,6.36
Ivan Cavaleiro,WWFC,pt,26,"AM(CLR),FW",175,73,6(17),687,3,1,1,-,0.6,75.5,0.4,-,0.2,0.2,0.6,-,0.2,0.6,-,-,0.8,0.7,0.2,0.3,0.8,1.1,12.8,0.7,0.1,-,6.35
Morgan Gibbs-White,WWFC,eng,20,AM(C),171,0,5(21),651,-,1,1,-,0.3,83.9,0.5,-,0.2,-,0.3,-,-,0.1,-,-,0.4,0.5,0.2,0.1,0.6,0.9,12.2,0.2,0.8,0.1,6.20
Léo Bonatini,WWFC,br,26,FW,185,80,0(7),130,-,1,-,-,1.3,78.9,0.1,-,0.1,-,-,-,-,0.6,-,-,0.3,0.1,-,-,0.6,0.6,8.1,-,0.3,-,6.13
Maximilian Kilman,WWFC,eng,23,D(C),0,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
Will Norris,WWFC,eng,27,GK,195,74,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
Sol Bamba,CCFC,ci,35,"D(C),DMC",190,90,28,2477,4,1,7,-,0.8,69.1,3.4,3,2.6,2.9,1.3,0.2,6.3,0.9,1.1,-,0.1,0.5,0.4,0.1,0.4,0.7,19.6,-,1.6,-,7.15
Sean Morrison,CCFC,eng,29,D(C),193,89,34,3040,1,3,6,-,1,62.8,6.6,1,1,1.5,0.9,0.3,5.9,0.4,0.9,-,0.6,0.2,0.6,0.3,0.3,0.4,21.7,-,1.1,-,6.96
Nathaniel Mendez-Laing,CCFC,eng,28,AM(LR),180,77,11(9),987,4,1,-,-,1,62,1.2,-,1.7,0.7,0.4,-,0.7,0.7,0.1,-,1,1.5,0.2,0.2,1,1.3,12.8,0.5,0.3,0.1,6.88
Callum Paterson,CCFC,sct,26,"D(R),M(CR),FW",183,76,21(6),1996,4,1,4,-,1.5,48.4,7.5,1,0.8,0.3,1.5,-,1,0.8,0.1,-,0.9,0.2,1.1,0.4,0.4,1.1,20.4,0.2,0.5,-,6.82
Joe Bennett,CCFC,eng,30,"D(L),M(L)",183,74,30,2641,-,1,5,-,0.3,71.8,1.2,-,1.7,2,0.7,0.1,2.8,0.5,0.3,-,0.5,0.8,1.2,-,0.4,0.3,23.1,0.4,1.4,-,6.77
Neil Etheridge,CCFC,ph,30,GK,188,90,38,3420,-,-,2,-,-,32.3,0.2,3,-,0.2,-,-,0.8,-,-,-,0.1,-,0.1,-,-,-,30.1,-,9.1,-,6.72
Víctor Camarasa,CCFC,es,26,M(CR),183,76,31(1),2579,5,4,6,-,1.3,75.1,0.6,-,0.9,1,0.7,-,0.8,0.8,0.1,-,1.6,1.1,0.9,-,1.5,1.9,27.7,1.3,1.4,-,6.72
Bruno Ecuele Manga,CCFC,ga,32,D(CR),186,76,37(1),3374,-,1,-,-,0.3,64.9,2.3,-,1.8,2.1,0.4,0.3,4.5,0.8,0.7,-,0.2,0.3,0.3,-,0.3,0.6,25.2,0.1,2.4,-,6.69
Aron Gunnarsson,CCFC,is,31,M(C),178,70,27(1),2275,1,1,5,-,0.7,71.6,1.7,-,1.8,1.4,0.9,-,1.9,2.2,0.4,-,0.6,0.4,1.1,-,0.3,0.9,26.8,0.1,1.5,-,6.61
Lee Peltier,CCFC,eng,33,"D(CLR),DMC,M(R)",178,73,17(3),1543,-,-,4,-,0.1,60.2,1.5,-,2,0.9,0.8,0.2,2.7,0.6,0.6,-,0.1,0.2,0.3,-,0.2,0.4,17.1,0.2,1.1,-,6.54
Josh Murphy,CCFC,eng,25,"AM(LR),FW",173,67,22(7),1826,3,2,2,-,1.6,60.4,0.4,1,0.9,0.4,0.5,-,0.3,0.7,-,-,0.6,1.3,1.9,0.3,1.3,1.5,10.6,0.5,0.4,0.1,6.54
David Junior Hoilett,CCFC,ca,30,"M(CLR),FW",173,70,23(9),2143,3,1,4,-,1.3,71.6,0.6,-,1.3,1,1.1,-,0.8,1.2,-,-,0.8,0.7,1.2,0.3,1.2,1.6,13.8,0.6,0.5,-,6.46
Joe Ralls,CCFC,eng,27,M(CL),183,70,22(6),1960,-,-,4,1,0.8,69.2,1.2,-,1.6,1,1,-,1,0.8,0.2,-,1.2,0.2,0.4,-,0.5,0.7,27.8,0.9,2.9,-,6.45
Oumar Niasse,CCFC,sn,30,FW,182,75,12(1),940,-,-,-,-,1.3,64.7,2.9,-,0.9,0.2,0.6,-,0.5,0.3,-,-,0.4,1.5,1.3,0.7,2.9,4.4,12.8,-,0.2,-,6.43
Greg Cunningham,CCFC,ie,29,"D(CL),M(L)",183,77,7,630,-,-,3,-,0.3,73.7,0.6,-,2.6,2.4,1.1,0.1,1.9,1,0.4,-,0.7,-,1.9,-,0.1,0.9,25.6,0.3,2.3,-,6.43
Bobby De Cordova-Reid,CCFC,eng,27,"M(CL),FW",170,68,16(11),1423,5,2,-,-,1,71.4,0.4,1,0.6,0.1,0.2,-,0.4,0.2,-,-,0.6,0.6,1,0.4,1.1,1.5,11.5,0.1,0.2,-,6.41
Harry Arter,CCFC,ie,30,M(C),176,70,24(1),2009,-,1,10,-,0.9,80.7,0.2,-,2.5,0.8,1,-,0.8,1.2,0.2,-,0.4,0.1,0.6,0.1,0.1,0.8,26.3,0.2,1.7,-,6.39
Kadeem Harris,CCFC,eng,27,M(LR),175,67,3(10),366,1,-,1,-,0.4,70.5,0.2,-,0.9,0.2,0.3,-,0.3,0.1,-,-,0.5,0.5,0.4,0.1,0.5,1,6.8,0.3,-,-,6.37
Leandro Bacuna,CCFC,nl,29,"D(LR),M(CLR)",187,77,4(7),554,-,-,2,-,0.5,66.9,0.6,-,1.4,1.4,1.2,-,0.8,1.3,0.2,-,0.1,0.5,0.3,-,0.5,1,13.2,0.2,0.8,-,6.34
Kenneth Zohore,CCFC,dk,26,FW,189,98,7(12),747,1,1,1,-,0.9,62.5,2.2,-,0.2,0.1,0.7,-,0.3,0.1,0.1,-,0.6,0.3,1.1,0.2,0.7,1.2,7.2,0.1,0.1,0.1,6.31
Danny Ward,CCFC,eng,28,"AM(CL),FW",178,72,4(10),440,1,-,-,-,0.8,54.3,2.2,-,0.1,-,0.1,-,0.6,0.2,0.1,-,0.5,-,0.4,0.2,0.4,0.9,6.6,-,0.1,-,6.29
Jazz Richards,CCFC,wls,29,"D(LR),M(R)",185,78,0(4),129,-,-,-,-,-,69.2,-,-,-,0.5,-,0.3,1.3,0.3,0.3,-,-,-,-,-,-,0.5,6.5,-,-,-,6.04
Rhys Healey,CCFC,wls,25,FW,180,72,0(3),49,-,-,-,-,0.3,28.6,0.3,-,0.3,-,0.3,-,-,0.3,-,-,0.3,0.3,0.3,-,0.7,1,2.3,-,-,-,6.03
Loïc Damour,CCFC,fr,29,AM(C),180,74,0(2),21,-,-,-,-,0.5,72.7,0.5,-,-,-,0.5,-,-,0.5,-,-,-,-,-,-,-,0.5,5.5,-,1,-,6.01
Gary Madine,CCFC,eng,30,FW,193,80,0(5),32,-,-,-,-,-,83.3,0.6,-,0.2,-,0.4,-,-,-,-,-,-,-,0.2,-,0.4,0.2,2.4,-,-,-,5.99
Aleksandar Mitrovic,FFC,rs,26,FW,189,90,37,3282,11,3,7,-,3.5,72,6.5,4,0.5,0.2,1.6,-,1.4,0.3,0.2,-,0.8,0.6,1.6,0.9,2.6,3,27.7,-,0.4,0.1,7.03
Ryan Babel,FFC,nl,33,"M(LR),FW",185,79,15(1),1260,5,3,3,-,1.7,82.9,0.9,1,0.5,0.4,0.9,-,0.6,0.4,-,-,1.4,1.7,1,0.6,1.8,2.3,29.3,0.7,0.7,-,6.86
Calum Chambers,FFC,eng,25,"D(CR),DMC",182,66,29(2),2587,2,-,9,-,1.1,79,2.1,-,2.1,2.2,1.1,0.3,3.5,1,0.4,-,0.5,0.7,0.1,-,0.8,1,47.9,-,2.9,-,6.82
Maxime Le Marchand,FFC,fr,31,D(CL),185,78,25(1),2252,-,1,5,-,0.2,83.3,2.2,-,2.2,2.1,1.1,0.6,4.7,0.9,0.6,-,0.3,0.4,0.3,0.1,0.2,0.4,53.3,0.2,3.5,-,6.72
André-Frank Zambo Anguissa,FFC,cm,24,DMC,184,78,16(6),1519,-,-,1,1,1,87.4,1,-,2.2,1.5,1,0.1,1.3,1.5,0.3,-,0.3,1.9,0.8,0.1,1.8,1.7,47.4,-,1.6,-,6.69
Joe Bryan,FFC,eng,27,"D(L),M(CL)",173,75,27(1),2347,-,1,5,-,0.8,75.4,1.1,-,2.2,1.1,0.9,0.1,2.5,0.6,0.4,-,0.9,0.5,1,0.1,0.6,0.8,33.9,0.8,1.7,-,6.65
Fabri,FFC,es,32,GK,184,79,2,180,-,-,-,-,-,68.1,-,-,0.5,-,-,-,1.5,-,-,-,-,-,0.5,-,-,-,23.5,-,8,-,6.63
Denis Odoi,FFC,be,32,D(CLR),178,72,29(2),2594,-,1,4,-,0.3,82.1,1.8,-,1.5,1.3,1.2,0.3,4.6,0.4,0.8,1,0.4,0.5,1,-,0.4,0.6,43,0.1,2.2,-,6.62
Cyrus Christie,FFC,ie,28,"D(R),M(R)",188,78,19(9),1945,-,1,7,-,0.4,76.4,2,-,1.5,1,1,0.2,2.9,0.8,0.4,-,0.6,1,0.5,0.1,1,1,31.6,0.6,0.8,-,6.61
Tom Cairney,FFC,sct,29,M(CR),186,84,24(7),2200,1,1,-,-,0.8,90.2,0.3,-,1.2,0.3,0.3,-,0.4,0.1,0.2,-,1.3,1.4,1.3,-,1.6,1.1,44.3,0.2,1.9,0.1,6.60
André Schürrle,FFC,de,29,"M(CLR),FW",184,73,21(3),1650,6,-,2,-,2.3,77.8,0.6,1,1.3,0.3,0.7,-,0.7,1.3,-,-,0.9,0.8,0.8,0.5,1.4,2.1,21.8,0.4,0.7,-,6.59
Sergio Rico,FFC,es,27,GK,195,90,29,2610,-,-,1,-,-,53.8,0.5,2,-,-,-,-,1.2,-,-,-,0.1,-,0.2,-,-,-,27.4,-,9.2,-,6.57
Jean Michael Seri,FFC,ci,29,M(C),168,69,27(5),2252,1,2,6,-,0.6,87,0.4,-,1.3,1,1,-,0.4,1,0.3,-,1.8,0.5,0.7,-,0.8,1,49.8,1.2,3.1,-,6.55
Luciano Vietto,FFC,ar,26,"AM(CLR),FW",174,69,10(10),987,1,4,1,-,1.2,78.8,0.3,-,0.8,0.3,0.7,-,0.3,0.8,-,-,1.1,0.8,1,-,1.3,1.3,19.3,0.4,0.2,0.1,6.48
Marcus Bettinelli,FFC,eng,28,GK,194,82,7,630,-,-,1,-,-,60.7,0.3,-,-,-,-,-,1.9,-,-,-,-,-,0.1,-,-,0.1,30.1,-,9.4,-,6.45
Alfie Mawson,FFC,eng,26,D(C),189,90,13(2),1132,-,-,2,-,0.1,82.4,2.1,-,0.7,1.3,0.4,0.6,4.3,0.3,1.1,-,0.1,-,0.3,-,-,0.5,31.8,-,3,-,6.43
Ryan Sessegnon,FFC,eng,20,"D(L),M(LR)",178,70,26(9),2298,2,6,-,-,0.8,73.4,0.5,-,0.6,0.5,0.6,0.2,1.1,0.5,0.1,-,0.9,0.9,0.6,0.4,1.5,1.9,19.6,0.4,0.4,0.1,6.42
Aboubakar Kamara,FFC,fr,25,"AM(R),FW",177,81,5(8),690,3,-,2,-,1.6,73.3,0.9,-,0.6,0.1,1.8,-,0.4,0.3,-,-,0.8,0.9,0.3,0.5,1,1.8,17.3,0.1,0.5,-,6.35
Timothy Fosu-Mensah,FFC,nl,22,D(CR),190,78,10(2),795,-,-,3,-,0.3,81.5,0.6,-,1.5,1,0.6,0.2,2.1,0.4,0.4,1,0.5,0.7,0.1,-,0.3,0.4,33.8,0.3,1.6,0.1,6.33
Tim Ream,FFC,us,33,"D(CL),DMC",186,80,25(1),2051,-,-,1,-,-,87.9,1.8,-,0.9,1,0.5,0.6,3,0.5,0.4,-,0.1,0.2,0.3,-,0.2,0.2,40.5,-,1.4,-,6.30
Håvard Nordtveit,FFC,no,30,"D(CR),DMC",188,83,4(1),361,-,1,-,-,-,83.1,0.8,-,1.8,1.6,1,0.4,2.8,0.2,0.6,-,0.6,0.2,0.4,-,-,0.4,45,-,4.2,-,6.29
Floyd Ayité,FFC,tg,31,"M(CLR),FW",175,73,3(13),468,1,-,-,-,0.4,79.2,0.4,-,0.3,0.4,0.4,-,0.2,0.3,0.1,-,0.6,0.6,0.4,0.3,0.8,1.3,12,0.1,0.4,-,6.24
Kevin McDonald,FFC,sct,31,M(C),192,95,10(5),843,-,-,4,1,0.3,85.2,1.3,-,0.9,0.6,0.8,0.1,1.3,0.5,0.1,-,0.3,-,0.4,-,0.3,0.2,38.3,-,2.2,-,6.15
Lazar Markovic,FFC,rs,26,AM(CLR),175,65,0(1),45,-,-,-,-,-,96.6,-,-,-,-,1,-,2,-,-,-,1,1,-,-,2,2,29,-,1,-,6.14
Neeskens Kebano,FFC,cd,28,AM(LR),170,65,0(7),104,-,-,-,-,0.1,82.8,0.6,-,0.4,-,-,-,0.4,-,-,-,-,0.6,0.1,-,0.4,0.9,4.1,0.1,-,-,6.13
Ibrahima Cissé,FFC,gn,26,DMC,180,84,1(2),87,-,-,-,-,-,85.3,0.3,-,-,1,0.3,-,1.3,0.3,-,-,-,0.3,-,-,-,0.3,11.3,-,-,-,6.08
Stefan Johansen,FFC,no,29,M(CR),182,78,4(8),412,-,-,4,-,0.1,79.7,0.3,-,0.9,0.2,0.5,-,0.4,0.3,-,-,0.1,0.2,0.2,-,0.2,0.6,20.9,0.1,1,-,6.03
Harvey Elliott,FFC,eng,17,AM(R),170,0,0(2),18,-,-,-,-,0.5,90.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5.5,-,-,-,6.02
